%%MatrixMarket matrix coordinate integer symmetric
13 13 91
1 1 684
2 1 398
3 1 467
4 1 293
5 1 619
6 1 582
7 1 369
8 1 343
9 1 348
10 1 336
11 1 334
12 1 342
13 1 345
2 2 702
3 2 540
4 2 368
5 2 373
6 2 457
7 2 262
8 2 362
9 2 362
10 2 343
11 2 340
12 2 357
13 2 369
3 3 854
4 3 340
5 3 450
6 3 580
7 3 424
8 3 440
9 3 433
10 3 435
11 3 417
12 3 444
13 3 430
4 4 477
5 4 308
6 4 227
7 4 81
8 4 250
9 4 248
10 4 239
11 4 231
12 4 259
13 4 260
5 5 722
6 5 599
7 5 415
8 5 372
9 5 369
10 5 351
11 5 344
12 5 374
13 5 360
6 6 888
7 6 548
8 6 446
9 6 447
10 6 441
11 6 425
12 6 463
13 6 434
7 7 691
8 7 333
9 7 334
10 7 348
11 7 318
12 7 341
13 7 333
8 8 644
9 8 329
10 8 324
11 8 323
12 8 338
13 8 310
9 9 646
10 9 327
11 9 311
12 9 320
13 9 307
10 10 648
11 10 307
12 10 335
13 10 315
11 11 611
12 11 304
13 11 307
12 12 651
13 12 327
13 13 635
