684 398 467 293 619 582 369 343 348 336 334 342 345
398 702 540 368 373 457 262 362 362 343 340 357 369
467 540 854 340 450 580 424 440 433 435 417 444 430
293 368 340 477 308 227 81 250 248 239 231 259 260
619 373 450 308 722 599 415 372 369 351 344 374 360
582 457 580 227 599 888 548 446 447 441 425 463 434
369 262 424 81 -1 548 691 333 334 348 318 341 333
343 362 440 250 372 446 333 644 329 324 323 338 310
348 362 433 248 369 447 334 329 646 327 311 320 307
336 343 435 239 351 441 348 324 327 648 307 335 315
334 340 417 231 344 425 318 323 311 307 611 304 307
342 357 444 259 374 463 341 338 320 335 304 651 327
345 369 430 260 360 434 333 310 307 315 307 327 635
